iter	Passed	Remaining
0	1	176
1	2	143
2	4	135
3	4	119
4	6	122
5	8	125
6	9	127
7	11	128
8	12	128
9	14	128
10	16	129
11	17	129
12	19	128
13	20	127
14	22	126
15	23	125
16	25	124
17	26	122
18	28	120
19	29	119
20	31	117
21	32	113
22	33	112
23	34	110
24	36	108
25	37	106
26	38	105
27	40	103
28	41	102
29	43	101
30	44	99
31	45	97
32	46	95
33	48	93
34	49	91
35	50	89
36	51	87
37	52	85
38	53	83
39	54	81
40	55	79
41	55	77
42	56	75
43	58	73
44	59	72
45	60	71
46	61	69
47	63	68
48	64	66
49	65	65
50	66	63
51	67	62
52	68	60
53	69	59
54	70	57
55	71	56
56	73	55
57	74	53
58	75	52
59	76	51
60	77	49
61	78	48
62	80	47
63	81	45
64	82	44
65	83	43
66	84	41
67	85	40
68	86	39
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	96	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	103	21
83	104	19
84	105	18
85	106	17
86	108	16
87	109	14
88	110	13
89	111	12
90	112	11
91	113	9
92	115	8
93	116	7
94	117	6
95	119	4
96	120	3
97	121	2
98	122	1
99	123	0
