iter	Passed	Remaining
0	148	148536
1	151	75510
2	153	50984
3	154	38531
4	156	31073
5	157	26074
6	158	22524
7	160	19903
8	162	17891
9	164	16309
10	166	14998
11	169	13943
12	171	13003
13	172	12166
14	175	11503
15	176	10881
16	178	10320
17	180	9823
18	181	9385
19	183	8979
20	184	8611
21	186	8269
22	189	8043
23	191	7772
24	193	7528
25	194	7291
26	196	7078
27	198	6884
28	200	6701
29	202	6539
30	205	6421
31	207	6272
32	209	6150
33	211	6011
34	213	5880
35	214	5755
36	217	5665
37	219	5559
38	221	5454
39	223	5355
40	224	5262
41	226	5174
42	229	5118
43	231	5037
44	233	4959
45	235	4879
46	236	4804
47	238	4734
48	240	4663
49	242	4605
50	244	4542
51	245	4480
52	247	4422
53	249	4367
54	250	4309
55	252	4262
56	254	4208
57	256	4162
58	258	4118
59	260	4075
60	261	4030
61	263	3988
62	265	3943
63	266	3904
64	268	3867
65	270	3834
66	273	3803
67	274	3765
68	276	3728
69	277	3690
70	279	3652
71	280	3617
72	282	3582
73	283	3553
74	286	3528
75	288	3501
76	289	3474
77	291	3446
78	293	3422
79	295	3397
80	297	3371
81	299	3350
82	300	3317
83	302	3295
84	304	3273
85	305	3251
86	308	3237
87	310	3214
88	312	3198
89	315	3194
90	317	3174
91	319	3154
92	321	3132
93	322	3111
94	324	3092
95	326	3074
96	328	3062
97	330	3044
98	332	3023
99	333	3003
100	337	3004
101	339	2985
102	340	2964
103	341	2945
104	343	2927
105	345	2911
106	346	2895
107	348	2877
108	350	2864
109	352	2848
110	353	2834
111	357	2836
112	360	2830
113	362	2814
114	364	2802
115	366	2791
116	367	2775
117	369	2760
118	373	2762
119	375	2750
120	377	2742
121	378	2726
122	380	2713
123	382	2701
124	384	2688
125	386	2678
126	387	2664
127	391	2668
128	394	2666
129	396	2655
130	398	2644
131	400	2635
132	403	2630
133	405	2619
134	406	2606
135	408	2594
136	409	2582
137	411	2569
138	412	2556
139	414	2548
140	419	2556
141	420	2543
142	423	2538
143	425	2529
144	427	2521
145	430	2516
146	432	2507
147	433	2498
148	437	2496
149	439	2492
150	441	2484
151	443	2475
152	448	2482
153	450	2474
154	452	2466
155	454	2456
156	456	2448
157	458	2441
158	477	2527
159	479	2519
160	481	2507
161	482	2496
162	484	2488
163	486	2478
164	487	2468
165	489	2460
166	491	2451
167	493	2444
168	495	2436
169	497	2427
170	498	2417
171	500	2407
172	502	2399
173	504	2393
174	506	2388
175	508	2380
176	509	2371
177	511	2362
178	513	2355
179	517	2355
180	520	2355
181	522	2347
182	523	2339
183	525	2329
184	526	2320
185	528	2311
186	529	2302
187	531	2295
188	533	2287
189	535	2281
190	537	2275
191	539	2268
192	543	2271
193	544	2263
194	546	2255
195	549	2252
196	550	2245
197	552	2238
198	554	2230
199	555	2221
200	557	2214
201	558	2206
202	560	2199
203	562	2193
204	564	2187
205	565	2180
206	567	2173
207	569	2166
208	570	2160
209	572	2152
210	573	2144
211	574	2136
212	576	2131
213	578	2125
214	580	2118
215	582	2112
216	584	2108
217	585	2101
218	587	2094
219	588	2087
220	592	2089
221	593	2081
222	595	2074
223	596	2067
224	598	2062
225	600	2057
226	602	2050
227	603	2044
228	605	2039
229	608	2037
230	612	2037
231	613	2031
232	615	2025
233	616	2019
234	618	2013
235	620	2009
236	622	2003
237	623	1997
238	625	1991
239	627	1985
240	628	1979
241	630	1974
242	631	1968
243	633	1963
244	635	1959
245	637	1954
246	639	1948
247	641	1944
248	643	1941
249	645	1935
250	646	1929
251	648	1924
252	650	1920
253	652	1915
254	653	1909
255	655	1903
256	656	1897
257	657	1892
258	659	1885
259	660	1880
260	662	1875
261	664	1870
262	665	1866
263	667	1861
264	669	1855
265	670	1850
266	671	1844
267	673	1839
268	674	1833
269	676	1828
270	678	1824
271	679	1819
272	681	1814
273	682	1809
274	684	1804
275	685	1798
276	687	1793
277	688	1787
278	689	1782
279	692	1779
280	693	1774
281	695	1770
282	696	1765
283	698	1761
284	700	1756
285	701	1752
286	703	1746
287	704	1741
288	706	1737
289	708	1734
290	710	1730
291	711	1726
292	713	1722
293	715	1718
294	717	1713
295	718	1708
296	720	1704
297	722	1701
298	723	1697
299	725	1693
300	727	1689
301	728	1684
